# Q (A^-1),  R, RQ^4 (A^-4)
1.0000e-03 9.9958e-01 9.9958e-13
1.2990e-03 9.9958e-01 2.8461e-12
1.5980e-03 9.9958e-01 6.5181e-12
1.8970e-03 9.9958e-01 1.2944e-11
2.1960e-03 9.9958e-01 2.3246e-11
2.4950e-03 9.9958e-01 3.8735e-11
2.7940e-03 9.9958e-01 6.0915e-11
3.0930e-03 9.9958e-01 9.1482e-11
3.3920e-03 9.9958e-01 1.3232e-10
3.6910e-03 9.9958e-01 1.8552e-10
3.9900e-03 9.9958e-01 2.5334e-10
4.2890e-03 9.9958e-01 3.3825e-10
4.5880e-03 9.9958e-01 4.4290e-10
4.8870e-03 9.9958e-01 5.7014e-10
5.1860e-03 9.9958e-01 7.2301e-10
5.4850e-03 9.9958e-01 9.0474e-10
5.7840e-03 9.9958e-01 1.1187e-09
6.0830e-03 9.9958e-01 1.3686e-09
6.3820e-03 9.9958e-01 1.6582e-09
6.6810e-03 9.9958e-01 1.9915e-09
6.9800e-03 9.9958e-01 2.3727e-09
7.2790e-03 9.9958e-01 2.8061e-09
7.5780e-03 9.9958e-01 3.2964e-09
7.8770e-03 9.9958e-01 3.8482e-09
8.1760e-03 9.9958e-01 4.4666e-09
8.4750e-03 9.9958e-01 5.1567e-09
8.7740e-03 9.9958e-01 5.9239e-09
9.0730e-03 9.9958e-01 6.7736e-09
9.3720e-03 9.9958e-01 7.7116e-09
9.6710e-03 9.9958e-01 8.7438e-09
9.9700e-03 9.9958e-01 9.8763e-09
1.0269e-02 9.9958e-01 1.1115e-08
1.0568e-02 9.9958e-01 1.2468e-08
1.0867e-02 9.9958e-01 1.3940e-08
1.1166e-02 9.9958e-01 1.5538e-08
1.1465e-02 9.9958e-01 1.7271e-08
1.1764e-02 9.9958e-01 1.9144e-08
1.2063e-02 9.9958e-01 2.1166e-08
1.2362e-02 9.9958e-01 2.3344e-08
1.2661e-02 9.9958e-01 2.5685e-08
1.2960e-02 9.9958e-01 2.8199e-08
1.3259e-02 9.9957e-01 3.0893e-08
1.3558e-02 9.9957e-01 3.3775e-08
1.3857e-02 9.9957e-01 3.6855e-08
1.4156e-02 9.9957e-01 4.0140e-08
1.4455e-02 9.9956e-01 4.3640e-08
1.4754e-02 9.9955e-01 4.7364e-08
1.5053e-02 9.9953e-01 5.1320e-08
1.5352e-02 9.9949e-01 5.5519e-08
1.5651e-02 9.9938e-01 5.9965e-08
1.5950e-02 9.9903e-01 6.4658e-08
1.6249e-02 9.9771e-01 6.9552e-08
1.6548e-02 9.9384e-01 7.4524e-08
1.6847e-02 9.8423e-01 7.9284e-08
1.7146e-02 9.6415e-01 8.3329e-08
1.7445e-02 9.2925e-01 8.6063e-08
1.7744e-02 8.7871e-01 8.7107e-08
1.8043e-02 8.1707e-01 8.6595e-08
1.8342e-02 7.5241e-01 8.5162e-08
1.8641e-02 6.9201e-01 8.3558e-08
1.8940e-02 6.3907e-01 8.2237e-08
1.9239e-02 5.9244e-01 8.1166e-08
1.9538e-02 5.4801e-01 7.9857e-08
1.9837e-02 5.0153e-01 7.7660e-08
2.0136e-02 4.5266e-01 7.4416e-08
2.0435e-02 4.0572e-01 7.0750e-08
2.0734e-02 3.6512e-01 6.7478e-08
2.1033e-02 3.3241e-01 6.5056e-08
2.1332e-02 3.0706e-01 6.3584e-08
2.1631e-02 2.8707e-01 6.2849e-08
2.1930e-02 2.6953e-01 6.2339e-08
2.2229e-02 2.5180e-01 6.1481e-08
2.2528e-02 2.3257e-01 5.9904e-08
2.2827e-02 2.1177e-01 5.7499e-08
2.3126e-02 1.9025e-01 5.4415e-08
2.3425e-02 1.6927e-01 5.0967e-08
2.3724e-02 1.5003e-01 4.7525e-08
2.4023e-02 1.3331e-01 4.4399e-08
2.4322e-02 1.1937e-01 4.1773e-08
2.4621e-02 1.0798e-01 3.9678e-08
2.4920e-02 9.8588e-02 3.8020e-08
2.5219e-02 9.0552e-02 3.6628e-08
2.5518e-02 8.3276e-02 3.5311e-08
2.5817e-02 7.6335e-02 3.3911e-08
2.6116e-02 6.9507e-02 3.2334e-08
2.6415e-02 6.2757e-02 3.0554e-08
2.6714e-02 5.6182e-02 2.8612e-08
2.7013e-02 4.9944e-02 2.6594e-08
2.7312e-02 4.4206e-02 2.4598e-08
2.7611e-02 3.9088e-02 2.2718e-08
2.7910e-02 3.4644e-02 2.1021e-08
2.8209e-02 3.0863e-02 1.9543e-08
2.8508e-02 2.7682e-02 1.8284e-08
2.8807e-02 2.5003e-02 1.7218e-08
2.9106e-02 2.2720e-02 1.6306e-08
2.9405e-02 2.0732e-02 1.5500e-08
2.9704e-02 1.8962e-02 1.4762e-08
3.0003e-02 1.7353e-02 1.4062e-08
3.0302e-02 1.5877e-02 1.3386e-08
3.0601e-02 1.4523e-02 1.2735e-08
3.0900e-02 1.3292e-02 1.2118e-08
3.1199e-02 1.2190e-02 1.1550e-08
3.1498e-02 1.1224e-02 1.1048e-08
3.1797e-02 1.0394e-02 1.0625e-08
3.2096e-02 9.6962e-03 1.0290e-08
3.2395e-02 9.1183e-03 1.0042e-08
3.2694e-02 8.6451e-03 9.8774e-09
3.2993e-02 8.2586e-03 9.7857e-09
3.3292e-02 7.9404e-03 9.7545e-09
3.3591e-02 7.6743e-03 9.7708e-09
3.3890e-02 7.4468e-03 9.8232e-09
3.4189e-02 7.2478e-03 9.9027e-09
3.4488e-02 7.0709e-03 1.0003e-08
3.4787e-02 6.9120e-03 1.0122e-08
3.5086e-02 6.7694e-03 1.0259e-08
3.5385e-02 6.6422e-03 1.0413e-08
3.5684e-02 6.5299e-03 1.0588e-08
3.5983e-02 6.4316e-03 1.0782e-08
3.6282e-02 6.3461e-03 1.0997e-08
