#  Q(A^-1)        R           dR         dQ(A^-1)    
8.78806e-02  1.07069e-04  8.40231e-06  8.78806e-03  
9.02898e-02  9.62104e-05  7.96583e-06  9.02898e-03  
9.28715e-02  7.58405e-05  7.49519e-06  9.28715e-03  
9.54680e-02  4.56410e-05  7.02174e-06  9.54680e-03  
9.76108e-02  5.56492e-05  6.64176e-06  9.76108e-03  
1.00085e-01  5.03973e-05  6.22851e-06  1.00085e-02  
9.49376e-02  7.32810e-05  3.73598e-06  9.49376e-03  
1.01103e-01  4.92838e-05  3.26688e-06  1.01103e-02  
1.07166e-01  3.44096e-05  2.90552e-06  1.07166e-02  
1.13334e-01  2.34689e-05  2.62547e-06  1.13334e-02  
1.19398e-01  1.69393e-05  2.39339e-06  1.19398e-02  
1.25638e-01  1.28464e-05  2.18518e-06  1.25638e-02  
1.31450e-01  9.02635e-06  2.02093e-06  1.31450e-02  
1.37884e-01  3.01897e-06  1.86927e-06  1.37884e-02  
1.43843e-01  4.21863e-06  1.75048e-06  1.43843e-02  
1.50035e-01  4.80387e-06  1.64435e-06  1.50035e-02  
1.39983e-01  7.19881e-06  1.22603e-06  1.39983e-02  
1.48590e-01  2.28498e-06  1.18285e-06  1.48590e-02  
1.56768e-01  2.47424e-06  1.14956e-06  1.56768e-02  
1.65261e-01  4.07081e-07  1.12153e-06  1.65261e-02  
1.73711e-01  9.41825e-07  1.09889e-06  1.73711e-02  
1.82283e-01  1.18965e-06  1.08020e-06  1.82283e-02  
1.99080e-01  7.47905e-07  1.05307e-06  1.99080e-02  
2.07263e-01  1.47502e-07  1.04333e-06  2.07263e-02  
2.16090e-01  1.73300e-07  1.03475e-06  2.16090e-02  
2.32654e-01  1.02244e-06  1.02284e-06  2.32654e-02  
2.49578e-01  1.61863e-06  1.01475e-06  2.49578e-02  
2.83265e-01  1.92444e-06  1.00598e-06  2.83265e-02  
2.99986e-01  1.69206e-07  1.00376e-06  2.99986e-02  
