# z (A),  sld (10^-6 A^-2)
-3.9867e+01 3.5000e-06
-3.8320e+01 3.5000e-06
-3.6773e+01 3.5001e-06
-3.5226e+01 3.5002e-06
-3.3680e+01 3.5004e-06
-3.2133e+01 3.5009e-06
-3.0586e+01 3.5018e-06
-2.9039e+01 3.5034e-06
-2.7492e+01 3.5064e-06
-2.5946e+01 3.5115e-06
-2.4399e+01 3.5203e-06
-2.2852e+01 3.5347e-06
-2.1305e+01 3.5575e-06
-1.9758e+01 3.5927e-06
-1.8212e+01 3.6453e-06
-1.6665e+01 3.7213e-06
-1.5118e+01 3.8281e-06
-1.3571e+01 3.9731e-06
-1.2024e+01 4.1643e-06
-1.0478e+01 4.4082e-06
-8.9308e+00 4.7100e-06
-7.3840e+00 5.0718e-06
-5.8372e+00 5.4921e-06
-4.2904e+00 5.9652e-06
-2.7436e+00 6.4815e-06
-1.1968e+00 7.0273e-06
3.4997e-01 7.5866e-06
1.8968e+00 8.1419e-06
3.4436e+00 8.6762e-06
4.9904e+00 9.1744e-06
6.5372e+00 9.6246e-06
8.0840e+00 1.0019e-05
9.6308e+00 1.0353e-05
1.1178e+01 1.0629e-05
1.2724e+01 1.0848e-05
1.4271e+01 1.1017e-05
1.5818e+01 1.1144e-05
1.7365e+01 1.1236e-05
1.8912e+01 1.1301e-05
2.0458e+01 1.1345e-05
2.2005e+01 1.1374e-05
2.3552e+01 1.1392e-05
2.5099e+01 1.1404e-05
2.6646e+01 1.1411e-05
2.8192e+01 1.1415e-05
2.9739e+01 1.1417e-05
3.1286e+01 1.1418e-05
3.2833e+01 1.1419e-05
3.4380e+01 1.1419e-05
3.5926e+01 1.1419e-05
3.7473e+01 1.1419e-05
3.9020e+01 1.1420e-05
4.0567e+01 1.1420e-05
4.2114e+01 1.1420e-05
4.3660e+01 1.1420e-05
4.5207e+01 1.1420e-05
4.6754e+01 1.1420e-05
4.8301e+01 1.1420e-05
4.9848e+01 1.1420e-05
5.1394e+01 1.1420e-05
5.2941e+01 1.1420e-05
5.4488e+01 1.1420e-05
5.6035e+01 1.1420e-05
5.7582e+01 1.1420e-05
5.9128e+01 1.1420e-05
6.0675e+01 1.1420e-05
6.2222e+01 1.1420e-05
6.3769e+01 1.1420e-05
6.5316e+01 1.1420e-05
6.6862e+01 1.1420e-05
6.8409e+01 1.1420e-05
6.9956e+01 1.1420e-05
7.1503e+01 1.1420e-05
7.3050e+01 1.1420e-05
7.4596e+01 1.1420e-05
7.6143e+01 1.1420e-05
7.7690e+01 1.1420e-05
7.9237e+01 1.1420e-05
8.0784e+01 1.1420e-05
8.2330e+01 1.1420e-05
8.3877e+01 1.1420e-05
8.5424e+01 1.1420e-05
8.6971e+01 1.1420e-05
8.8518e+01 1.1420e-05
9.0064e+01 1.1420e-05
9.1611e+01 1.1420e-05
9.3158e+01 1.1420e-05
9.4705e+01 1.1420e-05
9.6252e+01 1.1420e-05
9.7798e+01 1.1420e-05
9.9345e+01 1.1420e-05
1.0089e+02 1.1420e-05
1.0244e+02 1.1420e-05
1.0399e+02 1.1420e-05
1.0553e+02 1.1420e-05
1.0708e+02 1.1420e-05
1.0863e+02 1.1420e-05
1.1017e+02 1.1420e-05
1.1172e+02 1.1420e-05
1.1327e+02 1.1420e-05
1.1481e+02 1.1420e-05
1.1636e+02 1.1420e-05
1.1791e+02 1.1420e-05
1.1945e+02 1.1420e-05
1.2100e+02 1.1420e-05
1.2255e+02 1.1420e-05
1.2409e+02 1.1420e-05
1.2564e+02 1.1420e-05
1.2719e+02 1.1420e-05
1.2873e+02 1.1420e-05
1.3028e+02 1.1420e-05
1.3183e+02 1.1420e-05
1.3337e+02 1.1420e-05
1.3492e+02 1.1420e-05
1.3647e+02 1.1420e-05
1.3802e+02 1.1420e-05
1.3956e+02 1.1420e-05
1.4111e+02 1.1420e-05
1.4266e+02 1.1419e-05
1.4420e+02 1.1419e-05
1.4575e+02 1.1419e-05
1.4730e+02 1.1419e-05
1.4884e+02 1.1419e-05
1.5039e+02 1.1419e-05
1.5194e+02 1.1419e-05
1.5348e+02 1.1419e-05
1.5503e+02 1.1419e-05
1.5658e+02 1.1419e-05
1.5812e+02 1.1419e-05
1.5967e+02 1.1419e-05
1.6122e+02 1.1419e-05
1.6276e+02 1.1419e-05
1.6431e+02 1.1418e-05
1.6586e+02 1.1418e-05
1.6740e+02 1.1418e-05
1.6895e+02 1.1418e-05
1.7050e+02 1.1417e-05
1.7204e+02 1.1417e-05
1.7359e+02 1.1416e-05
1.7514e+02 1.1415e-05
1.7669e+02 1.1414e-05
1.7823e+02 1.1413e-05
1.7978e+02 1.1412e-05
1.8133e+02 1.1410e-05
1.8287e+02 1.1408e-05
1.8442e+02 1.1406e-05
1.8597e+02 1.1403e-05
1.8751e+02 1.1400e-05
1.8906e+02 1.1397e-05
1.9061e+02 1.1393e-05
1.9215e+02 1.1388e-05
1.9370e+02 1.1383e-05
1.9525e+02 1.1377e-05
1.9679e+02 1.1370e-05
1.9834e+02 1.1363e-05
1.9989e+02 1.1354e-05
2.0143e+02 1.1345e-05
2.0298e+02 1.1334e-05
2.0453e+02 1.1322e-05
2.0607e+02 1.1309e-05
2.0762e+02 1.1295e-05
